ballnumber,inningno,over,outcome,batter,bowler,comment
15,2,2.3,1,Mayank Agarwal,Harpreet Brar,"Harpreet Brar to Mayank Agarwal, 1 run,"
16,2,2.4,0,Harry Brook,Harpreet Brar,"Harpreet Brar to Harry Brook, no run,"
17,2,2.5,0,Harry Brook,Harpreet Brar,"Harpreet Brar to Harry Brook, no run,"
18,2,2.6,1,Harry Brook,Harpreet Brar,"Harpreet Brar to Harry Brook, 1 run,"
19,2,3.1,4,Harry Brook,Arshdeep Singh,"Arshdeep Singh to Harry Brook, Four,"
20,2,3.2,4,Harry Brook,Arshdeep Singh,"Arshdeep Singh to Harry Brook, Four,"
21,2,3.3,0,Harry Brook,Arshdeep Singh,"Arshdeep Singh to Harry Brook, no run,"
22,2,3.4,0,Harry Brook,Arshdeep Singh,"Arshdeep Singh to Harry Brook, no run,"
23,2,3.5,w,Harry Brook,Arshdeep Singh,"Arshdeep Singh to Harry Brook, no run,                           Wicket - b Arshdeep Singh batsmen out 13(14)"
24,2,3.6,0,Rahul Tripathi,Arshdeep Singh,"Arshdeep Singh to Rahul Tripathi, no run,"
25,2,4.1,0,Mayank Agarwal,Nathan Ellis,"Nathan Ellis to Mayank Agarwal, no run,"
26,2,4.2,0,Mayank Agarwal,Nathan Ellis,"Nathan Ellis to Mayank Agarwal, no run,"
27,2,4.3,1,Mayank Agarwal,Nathan Ellis,"Nathan Ellis to Mayank Agarwal, 1 run,"
28,2,4.4,1,Rahul Tripathi,Nathan Ellis,"Nathan Ellis to Rahul Tripathi, 1 run,"
29,2,4.5,1,Mayank Agarwal,Nathan Ellis,"Nathan Ellis to Mayank Agarwal, 1 run,"
30,2,4.6,0,Rahul Tripathi,Nathan Ellis,"Nathan Ellis to Rahul Tripathi, no run,"
31,2,5.1,0,Mayank Agarwal,Sam Curran,"Sam Curran to Mayank Agarwal, no run,"
32,2,5.2,1,Mayank Agarwal,Sam Curran,"Sam Curran to Mayank Agarwal, 1 run,"
33,2,5.3,1,Rahul Tripathi,Sam Curran,"Sam Curran to Rahul Tripathi, 1 run,"
34,2,5.4,1,Mayank Agarwal,Sam Curran,"Sam Curran to Mayank Agarwal, 1 run,"
35,2,5.5,0,Rahul Tripathi,Sam Curran,"Sam Curran to Rahul Tripathi, no run,"
36,2,5.6,1,Rahul Tripathi,Sam Curran,"Sam Curran to Rahul Tripathi, 1 run,"
37,2,6.1,0,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, no run,"
38,2,6.2,0,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, no run,"
39,2,6.3,0,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, no run,"
40,2,6.4,6,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, Six,"
41,2,6.5,0,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, no run,"
42,2,6.6,0,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, no run,"
43,2,7.1,1,Mayank Agarwal,Harpreet Brar,"Harpreet Brar to Mayank Agarwal, 1 run,"
44,2,7.2,0,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, no run,"
45,2,7.3,0,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, no run,"
46,2,7.4,0,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, no run,"
47,2,7.5,1,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, 1 run,"
48,2,7.6,1,Mayank Agarwal,Harpreet Brar,"Harpreet Brar to Mayank Agarwal, 1 run,"
49,2,8.1,1,Mayank Agarwal,Rahul Chahar,"Rahul Chahar to Mayank Agarwal, 1 run,"
50,2,8.2,1,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, 1 run,"
51,2,8.3,w,Mayank Agarwal,Rahul Chahar,"Rahul Chahar to Mayank Agarwal, no run,                           Wicket - c Sam Curran b RD Chahar batsmen out 21(20)"
52,2,8.4,1,Aiden Markram,Rahul Chahar,"Rahul Chahar to Aiden Markram, 1 run,"
53,2,8.5,4,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, Four,"
54,2,8.6,4,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, Four,"
55,2,9.1,1,Aiden Markram,Harpreet Brar,"Harpreet Brar to Aiden Markram, 1 run,"
56,2,9.2,0,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, no run,"
57,2,9.3,4,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, Four,"
58,2,9.4,4,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, Four,"
59,2,9.5,4,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, Four,"
60,2,9.6,0,Rahul Tripathi,Harpreet Brar,"Harpreet Brar to Rahul Tripathi, no run,"
61,2,10.1,1,Aiden Markram,Rahul Chahar,"Rahul Chahar to Aiden Markram, 1 run,"
62,2,10.2,0,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, no run,"
63,2,10.3,4,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, Four,"
64,2,10.4,0,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, no run,"
65,2,10.5,2,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, 2 runs,"
66,2,10.6,4,Rahul Tripathi,Rahul Chahar,"Rahul Chahar to Rahul Tripathi, Four,"
67,2,11.1,1,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, 1 run,"
68,2,11.2,1,Rahul Tripathi,Nathan Ellis,"Nathan Ellis to Rahul Tripathi, 1 run,"
69,2,11.3,4,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, Four,"
70,2,11.4,1,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, 1 run,"
71,2,11.5,1,Rahul Tripathi,Nathan Ellis,"Nathan Ellis to Rahul Tripathi, 1 run,"
72,2,11.6,0,Aiden Markram,Nathan Ellis,"Nathan Ellis to Aiden Markram, no run,"
